trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9900498337491681}",25,0,-47.56050130273963,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.4, 'e': 0.9801986733067553}",25,0,-109.81453751752855,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.9704455335485082}",20,0,-35.001510591705795,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.4, 'e': 0.9607894391523232}",25,7,-79.45528417370438,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.4, 'e': 0.951229424500714}",30,0,-121.21231130069964,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9417645335842487}",20,0,-109.48432274565776,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.9323938199059483}",20,0,-44.73326349134767,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.9231163463866358}",20,0,-104.94531271459898,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.9139311852712282}",25,0,-48.67657883563204,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.9048374180359595}",25,0,-132.64517156880382,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.8958341352965282}",25,0,-80.07315206808697,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.8869204367171575}",20,0,-266.53089571761035,"{0: 4, 1: 5, 2: 5, 3: 2, 4: 4}",0
13,False,"{'a': 0.4, 'e': 0.8780954309205613}",20,0,-58.51349472329298,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.8693582353988059}",30,0,-68.55581963282259,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.8607079764250578}",20,0,-95.80998965011848,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.8521437889662113}",25,4,-46.30196974524687,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 0}",1
17,False,"{'a': 0.4, 'e': 0.8436648165963837}",20,0,-75.64615996214002,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.835270211411272}",30,0,-158.49695141288825,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.8269591339433623}",20,0,-71.38095888248662,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.8187307530779818}",25,0,-229.50261742678052,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
21,False,"{'a': 0.4, 'e': 0.8105842459701871}",20,8,-37.04822086629066,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
22,False,"{'a': 0.4, 'e': 0.8025187979624785}",25,0,-8.360810740546945,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.794533602503334}",30,0,-149.07057373552277,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
24,False,"{'a': 0.4, 'e': 0.7866278610665535}",30,10,-20.131595881109,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.4, 'e': 0.7788007830714049}",20,0,-93.11256391413923,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.4, 'e': 0.7710515858035663}",20,0,-69.32515918347936,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.4, 'e': 0.7633794943368531}",25,0,-45.47949705662703,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.4, 'e': 0.7557837414557255}",25,17,-6.097263136072374,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.4, 'e': 0.7482635675785653}",20,0,-58.63432204480043,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.7408182206817179}",20,0,-100.82880432643174,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
31,False,"{'a': 0.4, 'e': 0.7334469562242892}",20,0,-129.0985381971299,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
32,False,"{'a': 0.4, 'e': 0.7261490370736909}",20,0,-110.55282609511569,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.7189237334319262}",30,7,-71.2569068048632,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
34,False,"{'a': 0.4, 'e': 0.7117703227626097}",20,1,-68.54950226402639,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 1}",1
35,False,"{'a': 0.4, 'e': 0.7046880897187134}",25,0,-33.44616272030622,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.697676326071031}",20,0,-107.67263870694906,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
37,False,"{'a': 0.4, 'e': 0.6907343306373547}",35,16,-80.42861926840978,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
38,False,"{'a': 0.4, 'e': 0.6838614092123558}",20,0,-86.2090216457023,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
39,False,"{'a': 0.4, 'e': 0.6770568744981647}",20,2,-114.82543206124365,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
40,False,"{'a': 0.4, 'e': 0.6703200460356393}",20,0,-122.68585302553029,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.4, 'e': 0.6636502501363194}",25,0,-114.74233973748711,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
42,False,"{'a': 0.4, 'e': 0.6570468198150567}",25,0,-68.48700271119313,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.6505090947233165}",20,0,-8.175591993216143,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.6440364210831414}",20,7,-0.465197246032776,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.4, 'e': 0.6376281516217733}",20,0,-61.07554837644228,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.4, 'e': 0.631283645506926}",20,0,-165.49635229376617,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
47,False,"{'a': 0.4, 'e': 0.6250022682827008}",25,0,-40.46830323883681,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.6187833918061408}",25,0,-73.33984624238771,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.4, 'e': 0.6126263941844161}",20,0,-184.68825928252977,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
