trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.41328931849101,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.76628630331268,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.85577900211099,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,13,-112.73573332338238,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.52862718558691,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.61015349337528,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.65382980296066,"{0: 7, 1: 5, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.03114215505514,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.73640286800656,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.01698106677418,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.17078597964709,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,6,-88.16611036084844,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,5,-50.92074433246273,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.063743636833806,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.354963680307,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.89857504575927,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.8917763363101,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.83298854731352,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.3674985828504,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.28565828740211,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.79328108868779,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.53525498177115,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.64281683116775,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.00003872861555,"{0: 15, 1: 4, 2: 11, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.82290584147555,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.12132157769955,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.19205729601906,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.5886483060069,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.34151662933445,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.79782138214523,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
